MemCellType,CellArea (F^2),CellAspectRatio,AccessType,AccessCMOSWidth (F),ResistanceOnAtSetVoltage (ohm),ResistanceOffAtSetVoltage (ohm),ResistanceOnAtResetVoltage (ohm),ResistanceOffAtResetVoltage (ohm),ResistanceOnAtReadVoltage (ohm),ResistanceOffAtReadVoltage (ohm),ResistanceOnAtHalfResetVoltage (ohm),CapacitanceOn (F),CapacitanceOff (F),ReadMode,ReadVoltage (V),ReadPower (uW),ResetMode,ResetVoltage (V),ResetPulse (ns),ResetEnergy (pJ),SetMode,SetVoltage (V),SetPulse (ns),SetEnergy (pJ),MemoryCellInputFile,DesignTarget,DeviceRoadmap,LocalWireType,LocalWireRepeaterType,LocalWireUseLowSwing,GlobalWireType,GlobalWireRepeaterType,GlobalWireUseLowSwing,Routing,InternalSensing,Temperature (K),BufferDesignOptimization,ProcessNode,OptimizationTarget,WordWidth (bit),Capacity (MB),Benchmark Name,Read Accesses,Write Accesses,Total Dynamic Read Power (mW),Total Dynamic Write Power (mW),Total Power,Total Dynamic Read Energy (mJ),Total Dynamic Write Energy (mJ),Total Read Latency (ms),Total Write Latency (ms),Read BW Util,Write BW Util,Area (mm^2),Area Efficiency (percent),Read Latency (ns),Write Latency (ns),Read Energy (pJ),Write Energy (pJ),Leakage Power (mW),Bits Per Cell
 memristor, 4, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.700000, 0.160000, voltage, 2.0, 100000.0, 0.6, voltage, 2.0, 100000.0, 0.6, data/cell_cfgs/RRAM_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteLatency, 64, 2,ResNet26_multi,297000000.0,40500000.0,-297.0,-40.5,-338.5,-297.0,-40.5,-297.0,-40.5,-237.6,-32.4,-1,-1,-1,-1,-1,-1,-1,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 100.0, 0.6, voltage, 2.0, 5.0, 0.6, data/cell_cfgs/RRAM_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteLatency, 64, 2,ResNet26_multi,297000000.0,40500000.0,3311.2529999999997,2014.0245,5369.6855,3311.2529999999997,2014.0245,252.09033300000002,223.155,8.231707317073171,415.9783344617468,0.638798437,67.372,0.848789,5.51,11.149,49.729,44.408,1
 memristor, 4, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.700000, 0.160000, voltage, 2.0, 100000.0, 0.6, voltage, 2.0, 100000.0, 0.6, data/cell_cfgs/RRAM_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteLatency, 64, 2,ResNet26_multi_int,6600000.0,900000.0,-6.6,-0.9,-8.5,-6.6,-0.9,-6.6,-0.9,-5.28,-0.72,-1,-1,-1,-1,-1,-1,-1,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 100.0, 0.6, voltage, 2.0, 5.0, 0.6, data/cell_cfgs/RRAM_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteLatency, 64, 2,ResNet26_multi_int,6600000.0,900000.0,73.5834,44.756099999999996,162.7475,73.5834,44.756099999999996,5.602007400000001,4.959,0.1829268292682927,9.243962988038817,0.638798437,67.372,0.848789,5.51,11.149,49.729,44.408,1
 memristor, 4, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.700000, 0.160000, voltage, 2.0, 100000.0, 0.6, voltage, 2.0, 100000.0, 0.6, data/cell_cfgs/RRAM_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteLatency, 64, 2,ResNet50w,211500000.0,0,-211.5,-0.0,-212.5,-211.5,-0.0,-211.5,-0.0,-169.2,-0.0,-1,-1,-1,-1,-1,-1,-1,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 100.0, 0.6, voltage, 2.0, 5.0, 0.6, data/cell_cfgs/RRAM_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteLatency, 64, 2,ResNet50w,211500000.0,0,2358.0135,0.0,2402.4215,2358.0135,0.0,179.51887349999998,0.0,5.861973392461197,0.0,0.638798437,67.372,0.848789,5.51,11.149,49.729,44.408,1
 memristor, 4, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.700000, 0.160000, voltage, 2.0, 100000.0, 0.6, voltage, 2.0, 100000.0, 0.6, data/cell_cfgs/RRAM_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteLatency, 64, 2,ResNet50w_int,4700000.0,0,-4.7,-0.0,-5.7,-4.7,-0.0,-4.7,-0.0,-3.7600000000000002,-0.0,-1,-1,-1,-1,-1,-1,-1,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 100.0, 0.6, voltage, 2.0, 5.0, 0.6, data/cell_cfgs/RRAM_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteLatency, 64, 2,ResNet50w_int,4700000.0,0,52.400299999999994,0.0,96.8083,52.400299999999994,0.0,3.9893083000000003,0.0,0.13026607538802662,0.0,0.638798437,67.372,0.848789,5.51,11.149,49.729,44.408,1
 memristor, 4, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.700000, 0.160000, voltage, 2.0, 100000.0, 0.6, voltage, 2.0, 100000.0, 0.6, data/cell_cfgs/RRAM_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteLatency, 64, 2,ResNet26w_single,87750000.0,0,-87.75,-0.0,-88.75,-87.75,-0.0,-87.75,-0.0,-70.19999999999999,-0.0,-1,-1,-1,-1,-1,-1,-1,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 100.0, 0.6, voltage, 2.0, 5.0, 0.6, data/cell_cfgs/RRAM_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteLatency, 64, 2,ResNet26w_single,87750000.0,0,978.3247499999999,0.0,1022.7327499999999,978.3247499999999,0.0,74.48123475,0.0,2.4320953436807096,0.0,0.638798437,67.372,0.848789,5.51,11.149,49.729,44.408,1
 memristor, 4, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.700000, 0.160000, voltage, 2.0, 100000.0, 0.6, voltage, 2.0, 100000.0, 0.6, data/cell_cfgs/RRAM_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteLatency, 64, 2,ResNet26w_single_int,1950000.0,0,-1.95,-0.0,-2.95,-1.95,-0.0,-1.95,-0.0,-1.5599999999999998,-0.0,-1,-1,-1,-1,-1,-1,-1,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 100.0, 0.6, voltage, 2.0, 5.0, 0.6, data/cell_cfgs/RRAM_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteLatency, 64, 2,ResNet26w_single_int,1950000.0,0,21.74055,0.0,66.14855,21.74055,0.0,1.6551385500000002,0.0,0.054046563192904656,0.0,0.638798437,67.372,0.848789,5.51,11.149,49.729,44.408,1
 memristor, 4, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.700000, 0.160000, voltage, 2.0, 100000.0, 0.6, voltage, 2.0, 100000.0, 0.6, data/cell_cfgs/RRAM_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteLatency, 64, 2,ResNet26w_multi,265500000.0,0,-265.5,-0.0,-266.5,-265.5,-0.0,-265.5,-0.0,-212.4,-0.0,-1,-1,-1,-1,-1,-1,-1,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 100.0, 0.6, voltage, 2.0, 5.0, 0.6, data/cell_cfgs/RRAM_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteLatency, 64, 2,ResNet26w_multi,265500000.0,0,2960.0595,0.0,3004.4674999999997,2960.0595,0.0,225.3534795,0.0,7.358647450110865,0.0,0.638798437,67.372,0.848789,5.51,11.149,49.729,44.408,1
 memristor, 4, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.700000, 0.160000, voltage, 2.0, 100000.0, 0.6, voltage, 2.0, 100000.0, 0.6, data/cell_cfgs/RRAM_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteLatency, 64, 2,ResNet26w_multi_int,5900000.0,0,-5.9,-0.0,-6.9,-5.9,-0.0,-5.9,-0.0,-4.72,-0.0,-1,-1,-1,-1,-1,-1,-1,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 100.0, 0.6, voltage, 2.0, 5.0, 0.6, data/cell_cfgs/RRAM_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteLatency, 64, 2,ResNet26w_multi_int,5900000.0,0,65.77909999999999,0.0,110.18709999999999,65.77909999999999,0.0,5.0078551,0.0,0.16352549889135257,0.0,0.638798437,67.372,0.848789,5.51,11.149,49.729,44.408,1
 memristor, 4, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.700000, 0.160000, voltage, 2.0, 100000.0, 0.6, voltage, 2.0, 100000.0, 0.6, data/cell_cfgs/RRAM_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteLatency, 64, 2,ALBERTw_emb,3840000.0,0,-3.84,-0.0,-4.84,-3.84,-0.0,-3.84,-0.0,-3.072,-0.0,-1,-1,-1,-1,-1,-1,-1,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 100.0, 0.6, voltage, 2.0, 5.0, 0.6, data/cell_cfgs/RRAM_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteLatency, 64, 2,ALBERTw_emb,3840000.0,0,42.812160000000006,0.0,87.22016,42.812160000000006,0.0,3.25934976,0.0,0.10643015521064302,0.0,0.638798437,67.372,0.848789,5.51,11.149,49.729,44.408,1
 memristor, 4, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.700000, 0.160000, voltage, 2.0, 100000.0, 0.6, voltage, 2.0, 100000.0, 0.6, data/cell_cfgs/RRAM_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteLatency, 64, 2,ALBERTw_all,11700000.0,0,-11.7,-0.0,-12.7,-11.7,-0.0,-11.7,-0.0,-9.36,-0.0,-1,-1,-1,-1,-1,-1,-1,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 100.0, 0.6, voltage, 2.0, 5.0, 0.6, data/cell_cfgs/RRAM_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteLatency, 64, 2,ALBERTw_all,11700000.0,0,130.4433,0.0,174.85129999999998,130.4433,0.0,9.930831300000001,0.0,0.32427937915742794,0.0,0.638798437,67.372,0.848789,5.51,11.149,49.729,44.408,1
 memristor, 4, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.700000, 0.160000, voltage, 2.0, 100000.0, 0.6, voltage, 2.0, 100000.0, 0.6, data/cell_cfgs/RRAM_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteLatency, 64, 2,ALBERTw_multi,29200000.0,0,-29.2,-0.0,-30.2,-29.2,-0.0,-29.2,-0.0,-23.36,-0.0,-1,-1,-1,-1,-1,-1,-1,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 100.0, 0.6, voltage, 2.0, 5.0, 0.6, data/cell_cfgs/RRAM_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteLatency, 64, 2,ALBERTw_multi,29200000.0,0,325.5508,0.0,369.9588,325.5508,0.0,24.7846388,0.0,0.8093126385809313,0.0,0.638798437,67.372,0.848789,5.51,11.149,49.729,44.408,1
 memristor, 4, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.700000, 0.160000, voltage, 2.0, 100000.0, 0.6, voltage, 2.0, 100000.0, 0.6, data/cell_cfgs/RRAM_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteLatency, 64, 2,ResNet50,324000000.0,108000000.0,-324.0,-108.0,-433.0,-324.0,-108.0,-324.0,-108.0,-259.2,-86.4,-1,-1,-1,-1,-1,-1,-1,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 100.0, 0.6, voltage, 2.0, 5.0, 0.6, data/cell_cfgs/RRAM_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteLatency, 64, 2,ResNet50,324000000.0,108000000.0,3612.2759999999994,5370.732,9027.416,3612.2759999999994,5370.732,275.007636,595.08,8.980044345898005,1109.275558564658,0.638798437,67.372,0.848789,5.51,11.149,49.729,44.408,1
 memristor, 4, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.700000, 0.160000, voltage, 2.0, 100000.0, 0.6, voltage, 2.0, 100000.0, 0.6, data/cell_cfgs/RRAM_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteLatency, 64, 2,ResNet50_int,7200000.0,2400000.0,-7.2,-2.4,-10.6,-7.2,-2.4,-7.2,-2.4,-5.76,-1.92,-1,-1,-1,-1,-1,-1,-1,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 100.0, 0.6, voltage, 2.0, 5.0, 0.6, data/cell_cfgs/RRAM_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteLatency, 64, 2,ResNet50_int,7200000.0,2400000.0,80.2728,119.34960000000001,244.03040000000001,80.2728,119.34960000000001,6.111280799999999,13.224,0.19955654101995565,24.650567968103513,0.638798437,67.372,0.848789,5.51,11.149,49.729,44.408,1
 memristor, 4, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.700000, 0.160000, voltage, 2.0, 100000.0, 0.6, voltage, 2.0, 100000.0, 0.6, data/cell_cfgs/RRAM_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteLatency, 64, 2,ResNet26_single,99000000.0,9900000.0,-99.0,-9.9,-109.9,-99.0,-9.9,-99.0,-9.9,-79.2,-7.920000000000001,-1,-1,-1,-1,-1,-1,-1,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 100.0, 0.6, voltage, 2.0, 5.0, 0.6, data/cell_cfgs/RRAM_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteLatency, 64, 2,ResNet26_single,99000000.0,9900000.0,1103.751,492.3171,1640.4760999999999,1103.751,492.3171,84.030111,54.549,2.7439024390243905,101.68359286842698,0.638798437,67.372,0.848789,5.51,11.149,49.729,44.408,1
 memristor, 4, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.700000, 0.160000, voltage, 2.0, 100000.0, 0.6, voltage, 2.0, 100000.0, 0.6, data/cell_cfgs/RRAM_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteLatency, 64, 2,ResNet26_single_int,2200000.0,220000.0,-2.2,-0.22,-3.4200000000000004,-2.2,-0.22,-2.2,-0.22,-1.76,-0.17600000000000002,-1,-1,-1,-1,-1,-1,-1,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 100.0, 0.6, voltage, 2.0, 5.0, 0.6, data/cell_cfgs/RRAM_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteLatency, 64, 2,ResNet26_single_int,2200000.0,220000.0,24.527799999999996,10.94038,79.87618,24.527799999999996,10.94038,1.8673358,1.2122,0.06097560975609756,2.2596353970761553,0.638798437,67.372,0.848789,5.51,11.149,49.729,44.408,1
 memristor, 4, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.700000, 0.160000, voltage, 2.0, 100000.0, 0.6, voltage, 2.0, 100000.0, 0.6, data/cell_cfgs/RRAM_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteLatency, 64, 2,ResNet26_multi,297000000.0,40500000.0,-297.0,-40.5,-338.5,-297.0,-40.5,-297.0,-40.5,-237.6,-32.4,-1,-1,-1,-1,-1,-1,-1,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 100.0, 0.6, voltage, 2.0, 5.0, 0.6, data/cell_cfgs/RRAM_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteLatency, 64, 2,ResNet26_multi,297000000.0,40500000.0,3311.2529999999997,2014.0245,5369.6855,3311.2529999999997,2014.0245,252.09033300000002,223.155,8.231707317073171,415.9783344617468,0.638798437,67.372,0.848789,5.51,11.149,49.729,44.408,1
 memristor, 4, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.700000, 0.160000, voltage, 2.0, 100000.0, 0.6, voltage, 2.0, 100000.0, 0.6, data/cell_cfgs/RRAM_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteLatency, 64, 2,ResNet26_multi_int,6600000.0,900000.0,-6.6,-0.9,-8.5,-6.6,-0.9,-6.6,-0.9,-5.28,-0.72,-1,-1,-1,-1,-1,-1,-1,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 100.0, 0.6, voltage, 2.0, 5.0, 0.6, data/cell_cfgs/RRAM_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteLatency, 64, 2,ResNet26_multi_int,6600000.0,900000.0,73.5834,44.756099999999996,162.7475,73.5834,44.756099999999996,5.602007400000001,4.959,0.1829268292682927,9.243962988038817,0.638798437,67.372,0.848789,5.51,11.149,49.729,44.408,1
 memristor, 4, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.700000, 0.160000, voltage, 2.0, 100000.0, 0.6, voltage, 2.0, 100000.0, 0.6, data/cell_cfgs/RRAM_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteEDP, 64, 2,ResNet50w,211500000.0,0,-211.5,-0.0,-212.5,-211.5,-0.0,-211.5,-0.0,-169.2,-0.0,-1,-1,-1,-1,-1,-1,-1,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 100.0, 0.6, voltage, 2.0, 5.0, 0.6, data/cell_cfgs/RRAM_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteEDP, 64, 2,ResNet50w,211500000.0,0,1540.3545,0.0,1622.7704999999999,1540.3545,0.0,360.396,0.0,3.729007801824834,0.0,0.707708324,60.812,1.704,6.413,7.283,45.734,82.416,1
 memristor, 4, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.700000, 0.160000, voltage, 2.0, 100000.0, 0.6, voltage, 2.0, 100000.0, 0.6, data/cell_cfgs/RRAM_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteEDP, 64, 2,ResNet50w_int,4700000.0,0,-4.7,-0.0,-5.7,-4.7,-0.0,-4.7,-0.0,-3.7600000000000002,-0.0,-1,-1,-1,-1,-1,-1,-1,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 100.0, 0.6, voltage, 2.0, 5.0, 0.6, data/cell_cfgs/RRAM_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteEDP, 64, 2,ResNet50w_int,4700000.0,0,34.2301,0.0,116.64609999999999,34.2301,0.0,8.0088,0.0,0.08286684004055186,0.0,0.707708324,60.812,1.704,6.413,7.283,45.734,82.416,1
 memristor, 4, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.700000, 0.160000, voltage, 2.0, 100000.0, 0.6, voltage, 2.0, 100000.0, 0.6, data/cell_cfgs/RRAM_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteEDP, 64, 2,ResNet26w_single,87750000.0,0,-87.75,-0.0,-88.75,-87.75,-0.0,-87.75,-0.0,-70.19999999999999,-0.0,-1,-1,-1,-1,-1,-1,-1,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 100.0, 0.6, voltage, 2.0, 5.0, 0.6, data/cell_cfgs/RRAM_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteEDP, 64, 2,ResNet26w_single,87750000.0,0,639.08325,0.0,721.4992500000001,639.08325,0.0,149.526,0.0,1.5471415347996649,0.0,0.707708324,60.812,1.704,6.413,7.283,45.734,82.416,1
 memristor, 4, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.700000, 0.160000, voltage, 2.0, 100000.0, 0.6, voltage, 2.0, 100000.0, 0.6, data/cell_cfgs/RRAM_worst_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteEDP, 64, 2,ResNet26w_single_int,1950000.0,0,-1.95,-0.0,-2.95,-1.95,-0.0,-1.95,-0.0,-1.5599999999999998,-0.0,-1,-1,-1,-1,-1,-1,-1,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 100.0, 0.6, voltage, 2.0, 5.0, 0.6, data/cell_cfgs/RRAM_best_case.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteEDP, 64, 2,ResNet26w_single_int,1950000.0,0,14.20185,0.0,96.61785,14.20185,0.0,3.3228,0.0,0.03438092299554811,0.0,0.707708324,60.812,1.704,6.413,7.283,45.734,82.416,1
